hypothesis_id,target_x_recomputed,target_y_recomputed,n_recomputed,effect_recomputed,p_raw_recomputed,partial_effect_recomputed,partial_p_recomputed,bh_fdr_recomputed,partial_bh_fdr_recomputed,target_x_frozen,target_y_frozen,n_frozen,effect_frozen,p_raw_frozen,bh_fdr_frozen,partial_effect_frozen,partial_p_frozen,partial_bh_fdr_frozen,n_match,effect_match,p_raw_match,bh_fdr_match,partial_effect_match,partial_p_match,partial_bh_fdr_match,all_fields_match
H4b_entropy,CT_firstorder_Entropy,heterogeneity_variance,123,-0.3907917735510418,7.86334270589371e-06,-0.39748616682359317,5.305387083762202e-06,3.931671352946855e-05,2.6526935418811007e-05,CT_firstorder_Entropy,heterogeneity_variance,123,-0.3907917735510418,7.86334270589371e-06,3.931671352946855e-05,-0.3974861668235931,5.305387083762202e-06,2.6526935418811007e-05,True,True,True,True,True,True,True,True
H4b_contrast,CT_glcm_Contrast,heterogeneity_variance,123,-0.3406231258663556,0.00011570149274233055,-0.34990519921063834,7.272976852458788e-05,0.00019283582123721759,0.00012121628087431315,CT_glcm_Contrast,heterogeneity_variance,123,-0.3406231258663556,0.0001157014927423,0.0001928358212372,-0.3499051992106383,7.272976852458788e-05,0.0001212162808743,True,True,True,True,True,True,True,True
H4b_homogeneity,CT_glcm_Idm,heterogeneity_variance,123,0.3708442703644196,2.4167171320238636e-05,0.37285730868942746,2.164970099424122e-05,6.041792830059659e-05,5.412425248560305e-05,CT_glcm_Idm,heterogeneity_variance,123,0.3708442703644196,2.416717132023864e-05,6.041792830059659e-05,0.3728573086894274,2.164970099424122e-05,5.412425248560305e-05,True,True,True,True,True,True,True,True
